,Count,Nouns_Adjectives
3726,12,key lock
1340,12,caltrain station
1717,12,community center
1090,12,brown hair
412,12,apartment room
5946,12,rack right
3327,12,home driveway
395,12,apartment lock
3715,12,key access
4308,11,main entrance
3764,11,kryptonite evolution
6368,11,saddle bag
1143,11,building locked
3314,11,home burglary
1682,11,college campus
990,11,blue white
2904,11,gas station
884,11,black handlebar
4965,11,open overnight
1433,11,car park
4853,11,nw 13th
876,11,black frame
3832,11,left garage
6365,11,rv park
1120,11,building door
4464,11,metal rack
5215,11,parked car
3438,11,hour pm
5243,11,parking space
3855,11,lewis clark
1615,11,city rack
7081,11,store minute
402,11,apartment nw
5833,11,rack good
4318,11,main street
3359,11,home rack
3071,11,grip tape
4461,11,metal pole
3509,11,house lock
7749,11,unit apartment
1974,11,cycle shop
424,11,apartment sw
2406,11,fence outside
5564,11,porch lock
802,11,bed truck
7220,11,sunday afternoon
5925,11,rack pm
29,11,11th ave
1434,11,car parking
7276,11,sw broadway
7035,11,stolen rack
3549,11,house yard
5816,11,rack entrance
4865,11,nw everett
2193,11,drive way
3219,11,heavy cable
5574,11,porch night
1691,11,college student
3880,11,light rail
4076,11,lock porch
1690,11,college rack
3740,11,killingsworth st
5935,11,rack rear
4022,11,lock hour
4116,11,lock thief
6013,10,rack university
4575,10,monday morning
8131,10,work rack
1753,10,complex rack
1488,10,caucasian male
7747,10,union station
6019,10,rack vehicle
1649,10,clipless pedal
6021,10,rack wall
4488,10,mid day
7053,10,storage cage
3004,10,good shape
5565,10,porch locked
45,10,13th ave
6581,10,security footage
7205,10,student union
2004,10,davis st
6045,10,railing lock
5168,10,palo alto
7252,10,surveillance video
7842,10,video footage
6040,10,railing apartment
3013,10,grand ave
1944,10,cut chain
5001,10,oregon st
1480,10,case beer
2907,10,gate backyard
4067,10,lock piece
726,10,bar lock
7299,10,sw oak
5031,10,outside building
6549,10,secure apartment
1416,10,car garage
5643,10,power tool
5570,10,porch middle
7306,10,sw stark
2987,10,glisan st
4048,10,lock minute
6255,10,right door
1420,10,car house
2227,10,dura ace
1216,10,burnside st
5622,10,post lock
6802,10,spd pedal
1781,10,condo storage
5867,10,rack library
4246,10,lot apartment
6132,10,red white
4413,10,matte black
911,10,black red
1707,10,combo lock
6901,10,st portland
2027,10,daylight hour
2840,10,garage residence
5992,10,rack thieve
1152,10,building nw
2135,10,door night
4235,10,long beach
2124,10,door house
3807,10,late night
1546,10,cesar chavez
2382,10,farmer market
73,10,15 pm
7474,10,thief yard
6446,10,school day
1711,10,common area
5543,10,porch cable
8227,10,yerba buena
3480,10,house corner
2105,10,door building
5183,10,park block
2940,10,gated apartment
7011,10,stock photo
1117,10,building corner
1329,10,cage parking
4766,10,night cable
5502,10,pole outside
910,10,black rear
2944,10,gated community
7566,10,tire cable
5225,10,parking deck
5928,10,rack porch
3324,9,home depot
6792,9,south waterfront
4021,9,lock home
5238,9,parking rack
7149,9,street light
5892,9,rack morning
916,9,black seat
6840,9,st 15th
156,9,32nd place
5002,9,oregon state
4870,9,nw johnson
689,9,baked good
5905,9,rack north
647,9,backyard garage
7164,9,street parking
4358,9,man black
4008,9,lock garage
4009,9,lock gate
8051,9,white trek
6454,9,school hour
5018,9,outdoor rack
4017,9,lock heavy
3375,9,home work
4450,9,metal bar
2181,9,downtown seattle
6527,9,seat white
2476,9,flat tire
5263,9,patio home
3465,9,house ave
6669,9,shopping center
7054,9,storage closet
6988,9,steel bar
4309,9,main frame
4975,9,open thief
133,9,25th ave
5851,9,rack house
7886,9,wall mount
7889,9,wall rack
2644,9,friend apartment
3482,9,house day
1585,9,child seat
6010,9,rack underground
8087,9,wire cutter
5823,9,rack frame
4222,9,locking mechanism
140,9,28th burnside
3292,9,hollywood meyer
5572,9,porch morning
5968,9,rack south
2694,9,garage apt
2400,9,fence house
4864,9,nw davis
8034,9,white man
6885,9,st lock
103,9,1st ave
3436,9,hour outside
2183,9,downtown sw
3081,9,ground floor
3486,9,house driveway
4866,9,nw flander
7391,9,theft place
3620,9,inside home
588,9,ave oregon
534,9,austin tx
4637,9,morrison st
5741,9,rack area
2891,9,garage yard
4695,9,naito parkway
7764,9,university arizona
3655,9,iron gate
2882,9,garage wheel
7281,9,sw columbia
3951,9,lock bar
1275,9,cable padlock
452,9,apt parking
6208,9,residential parking
6274,9,rite aid
7775,9,university portland
2991,9,golden gate
2941,9,gated area
510,9,art museum
5079,9,outside office
2827,9,garage pm
7273,9,sw ave
7419,9,thief camera
2014,9,day lock
2860,9,garage sure
1874,9,couch st
5054,9,outside garage
5786,9,rack college
2247,9,east entrance
1983,9,dark blue
7592,9,toe clip
3610,9,inside building
2326,9,entry garage
1875,9,couch street
2215,9,drop bar
394,9,apartment lobby
2780,9,garage locked
2923,9,gate lock
7,9,10 30
2861,9,garage sw
7654,9,trek mountain
3688,9,johnson creek
2755,9,garage good
7268,9,sw 1st
463,9,area building
2397,8,fence gate
8119,8,work day
3085,8,ground lock
6109,8,red black
5095,8,outside restaurant
7426,8,thief fence
6882,8,st john
3968,8,lock car
5554,8,porch gate
4108,8,lock storage
2809,8,garage nw
1648,8,clip pedal
4078,8,lock post
3494,8,house gate
4082,8,lock railing
2800,8,garage morning
2230,8,duty chain
4088,8,lock right
3489,8,house fence
4631,8,morning work
2641,8,friday night
7417,8,thief building
7408,8,thief access
6994,8,steel post
5862,8,rack kryptonite
6397,8,san diego
3089,8,ground rack
310,8,alberta street
833,8,best western
3622,8,inside house
4638,8,morrison street
1312,8,cage apartment
2574,8,frame black
6200,8,residential area
7616,8,trace lock
139,8,28th ave
2176,8,downtown pdx
6706,8,sign forced
2425,8,fenced patio
2928,8,gate outside
3340,8,home lock
4875,8,nw marshall
2504,8,following morning
4267,8,lot rack
361,8,apartment cable
6647,8,shirt black
2531,8,foot traffic
5448,8,pm cable
368,8,apartment courtyard
2464,8,fitness pearl
1035,8,brake lever
5657,8,privacy fence
386,8,apartment hallway
381,8,apartment gated
4868,8,nw hoyt
3140,8,hall psu
1061,8,bright blue
3671,8,jantzen beach
1457,8,carbon fork
2399,8,fence home
7511,8,thule rack
4929,8,old son
5237,8,parking post
4151,8,locked building
2864,8,garage theft
337,8,american male
2792,8,garage middle
6828,8,square apartment
8109,8,wooden post
4857,8,nw 20th
2868,8,garage time
1359,8,camera thief
6183,8,residence hall
1121,8,building downtown
4180,8,locked outside
448,8,apt garage
7990,8,wheel rest
7992,8,wheel seat
8105,8,wooden fence
5672,8,private property
2416,8,fence yard
2417,8,fenced area
8015,8,white blue
7055,8,storage container
3865,8,library rack
7057,8,storage facility
6075,8,rear fender
4050,8,lock morning
6348,8,room secure
8158,8,yakima rack
2315,8,entrance lock
239,8,academy science
723,8,bar grill
601,8,ave st
4779,8,night home
4031,8,lock kryptonite
4597,8,morning august
709,8,bar black
5819,8,rack fender
5385,8,pine street
7152,8,street lock
3954,8,lock bent
4813,8,noon pm
5812,8,rack east
7274,8,sw avenue
669,8,backyard residence
1621,8,clark college
3993,8,lock door
3261,8,hispanic male
8188,8,yard lock
649,8,backyard home
7077,8,store lock
6326,8,room building
6918,8,st vancouver
1894,8,covered parking
3512,8,house minute
6233,8,retail store
1286,8,cable rear
4069,8,lock place
2151,7,door thief
2715,7,garage cage
2712,7,garage burglary
3400,7,hot pink
5580,7,porch rail
4200,7,locked truck
958,7,blonde hair
1516,7,center main
2245,7,east burnside
347,7,angle grinder
3784,7,lake oswego
6181,7,residence garage
5496,7,pole cable
1226,7,bus station
3164,7,handlebar black
683,7,bag seat
6497,7,seat bar
7283,7,sw corner
6318,7,roof car
2888,7,garage work
1456,7,carbon fiber
2939,7,gate yard
4188,7,locked residential
5937,7,rack rei
3902,7,lincoln hall
5179,7,park ave
7066,7,storage space
462,7,area basement
2241,7,early hour
7490,7,thieve locked
3502,7,house hour
1409,7,car carrier
6457,7,school lock
8112,7,woodstock blvd
926,7,black trek
3903,7,lincoln park
443,7,apt bldg
7291,7,sw macadam
2347,7,evening morning
7392,7,theft pm
4423,7,max train
3413,7,hour cable
2221,7,duke bybee
5028,7,outside bar
699,7,balcony railing
6796,7,southeast portland
2710,7,garage broad
3008,7,goose hollow
1425,7,car locked
4408,7,mason st
3558,7,hr fitness
1077,7,broadway st
396,7,apartment locked
4791,7,night outside
2252,7,east street
2458,7,fitness gym
6593,7,security video
2303,7,entire lock
1243,7,bybee porch
5977,7,rack store
6583,7,security gate
6552,7,secure building
465,7,area cable
113,7,20th ave
5644,7,presbyterian church
2918,7,gate garage
1941,7,cut bolt
2166,7,doug fir
2448,7,fifth avenue
6564,7,secured apartment
5586,7,porch steel
6562,7,secure room
8055,7,wide open
3990,7,lock day
4326,7,male black
1079,7,broadway sw
5154,7,pad lock
5811,7,rack driveway
3328,7,home fence
2929,7,gate park
4735,7,new black
418,7,apartment stair
359,7,apartment bldg
5582,7,porch residence
2897,7,garden home
6525,7,seat tube
4699,7,navy blue
5062,7,outside hour
1354,7,camera rack
3148,7,hall university
1755,7,complex storage
3341,7,home locked
5481,7,pm sunday
662,7,backyard night
1084,7,brook saddle
2434,7,fender rear
4717,7,neighbor house
401,7,apartment night
1540,7,central library
3485,7,house door
5035,7,outside cafe
505,7,arrest conviction
7095,7,story porch
7302,7,sw portland
4117,7,lock thieve
2623,7,franklin high
4997,7,oregon city
5085,7,outside place
6260,7,right outside
4961,7,open minute
7227,7,sunday night
854,7,black bar
4551,7,mission st
4110,7,lock street
5547,7,porch door
5624,7,post office
3218,7,health science
376,7,apartment floor
4130,7,lock video
4038,7,lock locking
5427,7,plain view
1734,7,complex garage
8160,7,yamhill st
4763,7,night august
7704,7,tupelo alley
7304,7,sw salmon
2041,7,deck lock
753,7,basement building
5065,7,outside la
2817,7,garage owner
4977,7,open time
60,7,14th ave
7397,7,theft security
5749,7,rack basement
5853,7,rack inside
233,7,abus bordo
7719,7,ulock cable
2819,7,garage parking
760,7,basement house
6405,7,santa cruz
6971,7,station lock
828,7,bent brick
5424,7,plaid pantry
6250,7,right apartment
6962,7,state park
7308,7,sw taylor
7083,7,store rack
7024,7,stolen inside
519,7,athletic club
8130,7,work pm
3021,7,grant park
7985,7,wheel post
7686,7,trunk car
3825,7,leather seat
175,7,40 pm
7471,7,thief wheel
8116,7,work building
3316,7,home carport
326,7,alley way
2597,7,frame red
2298,7,entered garage
7130,7,street entrance
2856,7,garage stolen
4534,7,minute outside
4778,7,night garage
3422,7,hour half
7450,7,thief rack
1906,7,credit card
7960,7,wheel black
904,7,black plastic
6883,7,st johns
7031,7,stolen outside
4030,7,lock key
1255,6,cable cutter
4447,6,mercer st
3248,6,high end
2239,6,early evening
5255,6,patio apartment
1381,6,campus rec
5313,6,person building
8110,6,wooden railing
8243,6,yr old
2331,6,entry way
3207,6,hayden island
6039,6,rail station
1315,6,cage cable
5259,6,patio door
6028,6,rack white
6369,6,saddle black
6092,6,rear triangle
1200,6,burglary garage
8113,6,woodstock boulevard
105,6,1st floor
8219,6,yellow bar
4377,6,man woman
5456,6,pm friday
3307,6,home backyard
3309,6,home basement
8128,6,work parking
1133,6,building hallway
4799,6,night thief
2201,6,driveway home
4565,6,mode transportation
1350,6,camera lock
3230,6,helmet cable
4465,6,metal rail
1443,6,car street
8067,6,window garage
4599,6,morning cable
6169,6,report number
5335,6,personal collection
1886,6,courtyard apartment
4852,6,nw 11th
1335,6,cage work
1257,6,cable fence
2210,6,driveway rack
4557,6,mississippi ave
4482,6,meyer interstate
1159,6,building pm
4738,6,new condition
6007,6,rack ucsd
2393,6,fence cable
4748,6,new stolen
5394,6,pioneer place
6103,6,recreation center
3270,6,holder handlebar
1155,6,building parking
1271,6,cable metal
8232,6,yoga class
1326,6,cage locked
1325,6,cage lock
6201,6,residential building
8123,6,work lock
1086,6,brooklyn st
28,6,11th alder
2172,6,downtown fifth
4564,6,mobile home
1124,6,building fence
3242,6,helmet scene
1402,6,capitol hwy
5428,6,planet fender
3166,6,handlebar grip
1091,6,brown leather
8213,6,yard work
1262,6,cable helmet
3233,6,helmet ground
1268,6,cable locked
1234,6,business hour
4608,6,morning hour
2429,6,fender black
8124,6,work morning
1923,6,crow bar
6328,6,room condo
3710,6,kennedy school
1063,6,bright orange
614,6,avenue condition
3540,6,house thief
2707,6,garage black
7145,6,street killingsworth
2094,6,division street
704,6,bank america
696,6,balcony floor
2717,6,garage car
3011,6,graham street
3552,6,houston museum
7843,6,video guy
7177,6,street san
1756,6,complex street
7835,6,verde cocina
7192,6,street vancouver
1607,6,city hall
5805,6,rack dollar
3557,6,hoyt street
648,6,backyard gate
3966,6,lock cage
640,6,backyard deck
2081,6,disk brake
3963,6,lock broad
1750,6,complex parking
629,6,baby seat
1982,6,daniel boone
5573,6,porch negotiable
2699,6,garage backyard
719,6,bar end
5839,6,rack gym
2650,6,friend garage
218,6,7th st
2651,6,friend home
797,6,beaverton transit
4086,6,lock rest
5845,6,rack high
7038,6,stolen shop
2660,6,friend yard
3040,6,green black
5843,6,rack heavy
3499,6,house hawthorne
4072,6,lock pole
721,6,bar frame
2667,6,future houston
769,6,basement rack
7873,6,visible road
758,6,basement garage
3515,6,house morning
2680,6,garage 28th
1062,6,bright green
5219,6,parked rack
4046,6,lock middle
1593,6,church admin
7119,6,street car
619,6,avenue garage
7284,6,sw downtown
2645,6,friend backyard
280,6,admin office
318,6,alley block
320,6,alley garage
321,6,alley house
7687,6,trunk rack
7447,6,thief parking
1678,6,collection future
1679,6,college art
3818,6,law school
7681,6,truck rack
2962,6,gatorskin tire
7480,6,thieve cable
2020,6,day rack
1701,6,columbia park
5671,6,private patio
7624,6,traffic sign
2883,6,garage white
2885,6,garage window
3680,6,jimmy john
3762,6,kryptonite chain
7564,6,tire black
367,6,apartment corner
7570,6,tire flat
3744,6,king headset
2920,6,gate house
7602,6,total site
317,6,alley apartment
2049,6,delta cafe
3626,6,inside minute
2775,6,garage level
3947,6,lock attached
5792,6,rack condition
7295,6,sw montgomery
7783,6,unknown person
5029,6,outside bent
5785,6,rack closest
594,6,ave rack
5775,6,rack cash
585,6,ave northrup
2771,6,garage key
1636,6,clean cut
290,6,afternoon rack
313,6,alder morrison
572,6,ave hawthorne
7761,6,unitarian church
7750,6,unit basement
5769,6,rack busy
5053,6,outside friend
561,6,ave downtown
3907,6,line max
1990,6,dark grey
2974,6,gift card
5747,6,rack bar
525,6,attached rack
805,6,beer choice
7186,6,street sw
7009,6,sticker tube
1015,6,boone cycle
3368,6,home storage
5900,6,rack new
6832,6,sram apex
2484,6,floor building
5483,6,pm thursday
6660,6,shop personal
1800,6,controlled access
1799,6,container total
168,6,35th salmon
5511,6,police department
4921,6,ohsu campus
2131,6,door locked
6845,6,st apartment
6642,6,shimano spd
174,6,3rd floor
897,6,black mountain
2589,6,frame metal
4146,6,locked apt
7979,6,wheel locked
5907,6,rack nw
1529,6,center st
2138,6,door opener
5942,6,rack restaurant
2512,6,food market
6694,6,sidewalk street
4882,6,nw savier
4891,6,oak st
2147,6,door storage
4243,6,los gatos
6738,6,site daniel
4203,6,locked wheel
2542,6,forest grove
4905,6,office 11th
953,6,block south
5850,6,rack hour
5918,6,rack park
4874,6,nw marhsall
4184,6,locked porch
2499,6,fob access
6862,6,st corner
4232,6,lombard st
887,6,black hoodie
6934,6,stair railing
5466,6,pm night
188,6,50 pm
4350,6,mall rack
856,6,black basket
4124,6,lock twisted
847,6,bike rack
4871,6,nw kearney
838,6,bick rack
6622,6,shed door
6959,6,state campus
205,6,5th st
4105,6,lock stand
5251,6,passenger window
2635,6,friday afternoon
1054,6,brick nw
8054,6,white woman
5468,6,pm outside
198,6,5th avenue
4946,6,open door
6890,6,st nw
6881,6,st interstate
1552,6,chain cut
5748,5,rack bart
5659,5,private apartment
5078,5,outside nw
2022,5,day theft
5487,5,pm tuesday
1478,5,cascade campus
5180,5,park avenue
5494,5,pole apartment
5177,5,park apt
5194,5,park long
1364,5,camper shell
4772,5,night day
2023,5,day weekend
1654,5,closed gate
5272,5,pcc cascade
1822,5,corner alberta
5123,5,outside yoga
1988,5,dark gray
5631,5,post sidewalk
5169,5,pannier rack
4876,5,nw naito
5954,5,rack seat
1486,5,cat eye
5986,5,rack sure
2159,5,dorm rack
4873,5,nw lovejoy
5668,5,private home
5967,5,rack small
5098,5,outside safeway
6127,5,red shirt
5178,5,park area
5480,5,pm september
1813,5,corner 11th
6097,5,rear yard
5959,5,rack security
5087,5,outside powell
1824,5,corner ave
2013,5,day light
5352,5,photo thief
1353,5,camera photo
2033,5,dead end
5793,5,rack condo
1647,5,clinton street
5885,5,rack metro
1447,5,car thief
5397,5,pipe garage
5579,5,porch rack
6006,5,rack ucla
1550,5,chain bolt
1596,5,church st
5822,5,rack food
5571,5,porch minute
5874,5,rack locker
5830,5,rack gated
5521,5,polouse report
1557,5,chain guard
1419,5,car home
4954,5,open hour
5868,5,rack light
2102,5,door alley
2200,5,driveway garage
4828,5,northrup st
5552,5,porch friday
5420,5,place residence
5321,5,person lock
1438,5,car rear
6018,5,rack van
5320,5,person key
4851,5,nw 10th
1570,5,chain wheel
5858,5,rack jeep
5395,5,pioneer square
1604,5,city college
5943,5,rack return
4926,5,old boy
4880,5,nw portland
5044,5,outside dorm
5934,5,rack question
4773,5,night door
5931,5,rack private
1635,5,clay street
5433,5,plate number
5302,5,period time
5781,5,rack city
1512,5,center good
1513,5,center health
4783,5,night march
5602,5,portland lock
1954,5,cut scene
4913,5,office parking
5209,5,park street
5909,5,rack old
2216,5,drop handlebar
5210,5,park sw
5802,5,rack cut
4798,5,night sunday
1534,5,central ave
5806,5,rack door
5808,5,rack double
2091,5,division area
1401,5,capitol hill
1956,5,cut stolen
5419,5,place rack
1612,5,city park
7225,5,sunday monday
4133,5,lock wall
4065,5,lock person
780,5,basket rear
7023,5,stolen house
4091,5,lock school
7934,5,west bart
4095,5,lock security
7007,5,sticker seat
4097,5,lock shed
3443,5,hour sunday
190,5,50th hawthorne
2637,5,friday evening
6978,5,station pm
2631,5,fremont st
3440,5,hour rack
4125,5,lock unharmed
853,5,black backpack
7941,5,west entrance
4062,5,lock parked
2675,5,garage 15th
745,5,bart rack
7148,5,street level
3998,5,lock evidence
4000,5,lock fence
2724,5,garage condition
676,5,backyard visible
2720,5,garage chain
7163,5,street outside
7160,5,street night
705,5,bank building
7093,5,story apartment
707,5,bank tower
7146,5,street lamp
3468,5,house backyard
7118,5,street cable
734,5,bar seat
2687,5,garage accessible
2686,5,garage access
4129,5,lock vehicle
7950,5,westfield mall
4211,5,locker condo
2606,5,frame sticker
929,5,black water
930,5,black wheel
932,5,black yellow
6820,5,sport bar
6814,5,speed road
2567,5,fox tower
4173,5,locked house
4179,5,locked office
3112,5,guy white
6788,5,south end
6786,5,south burnside
955,5,block west
3115,5,gym hour
4202,5,locked vehicle
960,5,blue accent
6763,5,small light
966,5,blue frame
4167,5,locked frame
919,5,black silver
3407,5,hotel sw
169,5,37th ave
4138,5,lock white
6894,5,st parking
6892,5,st outside
7957,5,wheel attached
172,5,38th hawthorne
880,5,black green
170,5,37th hawthorne
896,5,black man
917,5,black shirt
6849,5,st bart
902,5,black pant
903,5,black planet
6847,5,st ave
4152,5,locked cable
6842,5,st 24th
7969,5,wheel fork
3979,5,lock combination
4733,5,neuberger hall
7229,5,sunday october
7248,5,surveillance footage
7489,5,thieve lock
7483,5,thieve entered
